date,open,high,low,close
2024-02-28,2030.07,2037.79,2024.42,2034.61
2024-02-29,2034.62,2050.64,2027.91,2044.09
2024-03-01,2044.14,2088.22,2038.88,2082.75
2024-03-03,2083.01,2086.17,2082.32,2083.46
2024-03-04,2083.51,2119.81,2079.3,2114.39
2024-03-05,2114.48,2141.7,2110.32,2127.86
2024-03-06,2127.88,2152.12,2123.59,2147.16
2024-03-07,2147.15,2164.77,2144.1,2161.84
2024-03-08,2161.74,2195.08,2153.83,2178.9
2024-03-10,2180.35,2183.79,2177.11,2181.55
2024-03-11,2181.59,2188.97,2174.68,2183.46
2024-03-12,2183.47,2184.44,2150.52,2156.78
2024-03-13,2156.89,2179.77,2156.45,2175.37
2024-03-14,2175.4,2176.95,2152.65,2161.5
2024-03-15,2161.52,2172.64,2155.0,2155.66
2024-03-17,2152.63,2156.81,2152.1,2156.49
2024-03-18,2156.38,2163.52,2145.95,2162.04
2024-03-19,2162.07,2162.78,2146.95,2156.98
2024-03-20,2156.87,2222.85,2149.41,2203.89
2024-03-21,2203.83,2212.47,2166.28,2181.67
2024-03-22,2181.73,2186.02,2156.97,2164.92
2024-03-24,2166.14,2168.87,2164.94,2168.19
2024-03-25,2168.21,2181.24,2163.44,2172.75
2024-03-26,2172.87,2200.06,2167.53,2179.39
2024-03-27,2179.4,2197.53,2173.28,2190.55
2024-03-28,2190.68,2236.08,2187.16,2233.95
2024-03-31,2240.4,2243.13,2234.7,2236.72
2024-04-01,2236.8,2265.5,2228.39,2253.54
2024-04-02,2253.52,2288.2,2246.56,2281.58
2024-04-03,2281.77,2302.74,2265.3,2301.64
2024-04-04,2301.6,2305.4,2279.55,2289.57
2024-04-05,2289.6,2330.37,2267.65,2329.57
2024-04-07,2319.62,2328.29,2301.75,2307.45
2024-04-08,2307.4,2353.86,2302.74,2338.6
2024-04-09,2338.62,2365.27,2337.51,2352.26
2024-04-10,2352.25,2359.98,2319.2,2335.83
2024-04-11,2335.84,2379.49,2325.58,2373.73
2024-04-12,2373.81,2431.35,2333.64,2344.0
2024-04-14,2362.73,2372.66,2346.88,2356.83
2024-04-15,2356.84,2391.99,2324.21,2384.23
2024-04-16,2384.24,2398.21,2362.87,2384.76
2024-04-17,2384.77,2395.53,2352.55,2365.13
2024-04-18,2365.12,2392.68,2363.58,2378.99
